ham	Hi are we still meeting at 3pm today
ham	Thanks for the update, talk tomorrow
ham	See you at the cafe near the station
ham	Can you send me the file when you have a moment
ham	I will be late about ten minutes
ham	No problem take your time
ham	Weekend plans still on
ham	Call me when you arrive
spam	Free entry to win a prize text WIN to 80000 now
spam	You have won 1000 dollars call this number immediately
spam	Urgent your account will be suspended click here now
spam	Congratulations you are selected claim your free gift
spam	Text MONEY to 12345 to receive cash
spam	Buy cheap meds online click link now
spam	You are a winner reply YES to claim
ham	Running a bit late traffic is bad
ham	Ok sounds good thanks
spam	Free iPhone if you reply today only
spam	Your parcel is waiting pay fee via this link
ham	Lets reschedule to Thursday
ham	Document attached in email thanks
spam	URGENT you won the lottery send details
spam	Claim your refund now limited time offer
ham	Happy birthday hope you have a great day
ham	Dinner at 7 works for me
